"sim","censored","beta1_ee","se_beta1_ee","alpha_ee","se_alpha_ee","sigma2_ee","beta1_lme","se_beta1_lme","alpha_lme","se_alpha_lme","sigma2_lme"
1,0.179,0.244270868286932,0.0202066467023482,0.983434149122445,0.0216950585278828,1.0235234386701,0.244471792245612,0.0208323224590314,0.955235054748501,0.0190333488565195,0.933520570083497
2,0.199,0.236332567471505,0.0236342032688917,1.01903731145922,0.0222574228085932,1.11886997404177,0.239822196811238,0.0221598457122821,0.975602979377181,0.0198236968589069,1.01031823740187
3,0.202,0.266831109473155,0.0221412022355729,0.957097205308827,0.0218256098756396,1.08634520176252,0.268822335717304,0.0216010092167675,0.903363432366522,0.0189302211661098,0.980336179939198
4,0.186,0.297669281949652,0.0225319840691244,1.00796265545951,0.0231237708035279,1.1627912929514,0.308134117333522,0.0218113335294711,0.942649250550159,0.0195636037098748,1.05987832559568
5,0.198,0.303634367819509,0.0226295412589302,1.00132292690606,0.0220510364780537,1.09808488935988,0.299577452339367,0.0226939379348967,0.895654105767287,0.0184511742586622,1.00138010508639
6,0.174,0.233365327985633,0.0226694509716083,0.990952652836476,0.0221527530523883,1.0672732078666,0.22722396165301,0.0211078869066422,0.928285001786648,0.0188569282993318,0.979198240570836
7,0.174,0.282275397793558,0.0223065162206482,0.979897605715569,0.0229012779172486,1.12652933106689,0.28257473537191,0.0223960497129907,0.959107148068466,0.0199687887836291,1.02983983776774
8,0.18,0.194563520783488,0.0224175672827793,0.988131100339376,0.0219029937834992,1.05338876107834,0.201432810329825,0.0214381699194764,0.976198491689794,0.0195867172419168,0.959610059916986
9,0.187,0.289722366270356,0.0213482841635268,0.996716389141485,0.0225134819492632,1.09514884198521,0.287904787301002,0.021616644607367,0.841605727149451,0.0171925207257706,1.0176143858473
10,0.197,0.21812683078633,0.0237476511660608,0.980330945241155,0.022774488750344,1.16001251562605,0.226215705515324,0.023064254026951,0.904031772496283,0.0194186401130723,1.05248700603835
11,0.194,0.269603966871704,0.0235712185255979,0.975607311917604,0.0222786044033919,1.09011212474731,0.26311583731517,0.0217649657173637,0.982299084102626,0.0200636886779689,0.985326195239476
12,0.178,0.23279195964772,0.0226517533995478,0.97681878697217,0.022496622079118,1.0848660481944,0.235581358352458,0.0214260530805775,0.980795133975354,0.0199954862008394,0.989205634030769
