"sim","censored","beta1_ee","se_beta1_ee","alpha_ee","se_alpha_ee","sigma2_ee","beta1_lme","se_beta1_lme","alpha_lme","se_alpha_lme","sigma2_lme"
1,0.454,0.244270868286932,0.0202066467022911,0.983434149122453,0.0216950585279302,1.20558614606636,0.250755950369815,0.0207656333997739,1.07123182166997,0.0198390401293038,0.940449667675406
2,0.457,0.236332567471501,0.0236342032688877,1.01903731145927,0.022257422808616,1.30595257501806,0.244604943173469,0.0220695866470101,1.02215205190433,0.0199617200591177,1.00849514832535
3,0.453,0.266831109473152,0.0221412022356146,0.957097205308917,0.0218256098755981,1.26260418408202,0.265014893813474,0.0214735878044034,1.0166325818197,0.0198710241550018,0.981023624474776
4,0.453,0.297669281949644,0.0225319840690914,1.00796265545956,0.0231237708033858,1.36347990007542,0.30374825935191,0.0216720731937611,1.04818163928248,0.0204124367956111,1.05723696255701
5,0.491,0.303634367819526,0.0226295412588867,1.00132292690659,0.022051036477958,1.31129819128795,0.297962429846252,0.022618625188188,0.965246976987689,0.0200736222094543,0.991586522028432
6,0.428,0.233365327985633,0.0226694509715682,0.990952652836497,0.0221527530524372,1.23972066002897,0.225809229134216,0.0209790285238868,1.02397776900826,0.019484430245886,0.976423275260697
7,0.444,0.282275397793558,0.0223065162207098,0.979897605715574,0.0229012779171414,1.32200678568662,0.283178366438766,0.0223269350620079,1.00928215045823,0.0202381440149397,1.03028134202373
8,0.442,0.194563520783487,0.0224175672826863,0.988131100339379,0.0219029937835093,1.2305311586412,0.201954861501428,0.0213659218922293,1.05714842357248,0.0199904336182285,0.964268618217389
9,0.458,0.289722366270383,0.0213482841634784,0.996716389143956,0.0225134819496942,1.28761663469602,0.290853757478667,0.0216558878170793,0.830792841456724,0.0170836755893286,1.02105451648446
10,0.464,0.218126830786314,0.023747651165956,0.980330945241306,0.0227744887503452,1.36165531619935,0.224093092158379,0.0229007044459608,1.01104625116657,0.0203605255142946,1.04764391154252
11,0.473,0.269603966871708,0.0235712185255893,0.975607311917604,0.0222786044033635,1.28928781748167,0.264649410761728,0.0217059585129122,1.05504905316687,0.0203342965145892,0.991577167234262
12,0.455,0.232791959647721,0.0226517533994885,0.976818786972171,0.0224966220791301,1.27936954033029,0.238700263276848,0.0213730518029517,1.07762570063226,0.0204134643028139,0.999387136868135
13,0.489,0.263859045123212,0.0229503889708037,1.02226695551311,0.022735613424049,1.34058996699608,0.270449763078564,0.0216076142413605,0.97234015123205,0.019271365585213,1.01620862495254
14,0.481,0.255813033334201,0.0203380119644378,0.960958433813488,0.0222346802579621,1.28814246463677,0.264815614377806,0.0213662741216872,0.941359142183886,0.0192644195513886,0.979637357635705
15,0.449,0.25035058869047,0.0228676038322229,0.974538470884253,0.0220656601292599,1.24131805980631,0.25335240633812,0.021695389081589,1.02877536471839,0.0198170613549348,0.966448332695155
16,0.47,0.295252885470691,0.02193941236793,0.988796989654207,0.0223803396182527,1.3144507433166,0.297022900621273,0.0218128572536088,1.01811483473993,0.0200105577537176,1.00729554232132
17,0.467,0.289414554077827,0.0233681841819589,1.01855483694813,0.0218755566582212,1.33847894858019,0.28946801415412,0.0222127404365456,1.07955374056275,0.020817443818639,1.03058346953646
18,0.47,0.264775968970852,0.0229756033985417,1.02550425850864,0.0232743733890105,1.35574598537902,0.258561798953399,0.0218906972136962,1.0671484493465,0.0205808554062031,1.03983986282426
19,0.441,0.208817925157562,0.022840385499158,0.995261729473268,0.0227424746920643,1.28103115307617,0.220692125304796,0.0219976098327586,1.01969786454912,0.0197202002277824,1.00014802116581
20,0.449,0.251733477313674,0.0212952246915173,0.973483506954055,0.0221444166470405,1.25269570855635,0.254925274568771,0.0215602051139198,1.01777583274792,0.0199235107099601,0.974294089986505
21,0.46,0.226539124267151,0.0228792278426293,0.979603227811148,0.0221700647672337,1.29122028125603,0.236372637052178,0.021114920318286,1.03984777565829,0.0201010866694701,0.998819297992057
22,0.451,0.248210471253333,0.0216316683951664,0.989905803798369,0.0227105811270743,1.32650987399502,0.249794252263881,0.021769704892319,0.907725716037447,0.0188006864637624,1.03497622249245
23,0.472,0.220443661526149,0.023137389001206,0.981446335282233,0.0222031941702182,1.29518839661132,0.228858207242281,0.0219831372466052,1.03345338606428,0.0202694539543136,0.99318911134876
24,0.445,0.269424430801572,0.0220870270454947,1.00262336513238,0.0216540434628946,1.1970177256663,0.275915432057956,0.0216704734233766,0.961451961299863,0.0188843551204539,0.933218876793263
25,0.474,0.23307382698935,0.0239369809807195,0.979210704905023,0.0221381264500036,1.31574277061909,0.241844680951173,0.0222258169315131,0.957609355686,0.0185452701831578,1.00526298267154
26,0.468,0.232948457031142,0.0226071511127401,0.998574706103295,0.0230656105161365,1.32197923998313,0.233727357081157,0.0216980063251828,1.06054219129553,0.0205175340828754,1.0173750624872
27,0.484,0.294644859107068,0.0210469605946927,1.00664146298004,0.0216432954618383,1.28972847467398,0.305947833021641,0.0219569640090485,1.04556327121508,0.0195451307767646,0.980100776440652
28,0.452,0.217385711657489,0.0216797941465448,1.03557216224749,0.0229744255890566,1.34566761319351,0.22261898122048,0.0216012725241512,1.0457882399027,0.0205190579963787,1.04259139143639
