"sim","censored","beta1_ee","se_beta1_ee","alpha_ee","se_alpha_ee","sigma2_ee","beta1_lme","se_beta1_lme","alpha_lme","se_alpha_lme","sigma2_lme"
1,0.179,0.244270868286941,0.0202066467023669,0.983434149122591,0.0216950585279276,1.02352343866644,0.250010784879718,0.0207549746508757,1.07876252192073,0.0197537555927137,0.941817763510369
2,0.199,0.23633256747152,0.0236342032689383,1.01903731145945,0.0222574228085631,1.11886997403836,0.244394788188348,0.022029787847464,1.0953791358693,0.0204538271215925,1.01431795555023
3,0.202,0.266831109473143,0.0221412022356134,0.957097205309226,0.0218256098756248,1.08634520175642,0.26524463968262,0.0214614799748415,1.04348987667714,0.0199504685641076,0.984944050589716
4,0.186,0.29766928194965,0.0225319840691443,1.00796265545968,0.0231237708033672,1.16279129294946,0.304348941803806,0.0216430603432946,1.09453660733365,0.0205262421059121,1.06314606816548
5,0.198,0.303634367819509,0.0226295412589647,1.00132292690674,0.0220510364779854,1.0980848893712,0.294619096620306,0.022425162388511,1.07366167638341,0.0197885663967674,0.995532130716711
6,0.174,0.233365327985631,0.0226694509715481,0.99095265283655,0.0221527530524177,1.06727320786576,0.229970848151523,0.0209765826567053,1.07249713785769,0.019795563892402,0.981947100406997
7,0.174,0.28227539779356,0.0223065162206509,0.979897605715691,0.0229012779172118,1.12652933106351,0.280574067954144,0.0223079908312037,1.08111946675657,0.0206578686014221,1.03967172585779
8,0.18,0.194563520783499,0.0224175672827422,0.988131100339478,0.0219029937835325,1.05338876107572,0.203540941120582,0.0213695681244811,1.07553392950407,0.0201234606780095,0.96718371124585
9,0.187,0.289722366270375,0.0213482841635029,0.996716389144043,0.0225134819493,1.09514884208349,0.281408636348323,0.0212301163547827,1.07120235063723,0.0190819539100582,0.999170902035447
10,0.197,0.218126830786328,0.0237476511659394,0.980330945241488,0.0227744887503391,1.16001251562527,0.225613546486262,0.0228712910953791,1.06127142591355,0.0205722343653959,1.05329594461961
11,0.194,0.269603966871693,0.0235712185256357,0.975607311917919,0.022278604403346,1.09011212473882,0.264002568580661,0.0217115739673947,1.07334679307767,0.0204639216140048,0.994828642182885
12,0.178,0.232791959647732,0.0226517533994642,0.976818786972353,0.0224966220791546,1.08486604818918,0.240220557105399,0.0213701168905411,1.08101920210464,0.0203883276660981,1.0001002500079
13,0.203,0.263859045123223,0.0229503889708402,1.02226695551326,0.0227356134238367,1.12722951592854,0.269695875788104,0.0214904853774681,1.08725546277411,0.0201344249124502,1.01795620205066
14,0.208,0.255813033334226,0.020338011964411,0.960958433813785,0.0222346802580404,1.09190201103073,0.262068949717244,0.0213029346637718,1.03718251942743,0.0199103031613492,0.98508090524934
15,0.172,0.250350588690472,0.0228676038321683,0.974538470884336,0.0220656601292982,1.05321898837821,0.25254551646497,0.0217126630033409,1.06792855488355,0.0201847308276115,0.972241470121774
16,0.209,0.295252885470696,0.0219394123679294,0.988796989654801,0.0223803396183328,1.12289761990072,0.295547806668592,0.0217992601564542,1.08364670698428,0.0203449059526864,1.01544228443089
