"sim","censored","beta1_ee","se_beta1_ee","alpha_ee","se_alpha_ee","sigma2_ee","beta1_lme","se_beta1_lme","alpha_lme","se_alpha_lme","sigma2_lme"
1,0.456,0.25744097426628,0.0217242780813174,0.977197983584195,0.0219453250647082,1.23783422459413,0.265336079360861,0.0216089470603086,1.10482210734346,0.0207781041208263,0.972818689397393
2,0.448,0.25755191954548,0.0209561915740084,0.992746292184254,0.0207782161337364,1.2218260892027,0.262830912847067,0.0209584942403902,1.1458548520213,0.0205852833943632,0.972465541378579
3,0.429,0.240673883241772,0.0217685859575219,1.00998085515256,0.0227309918009805,1.29715171184504,0.238540582950555,0.021661441311868,1.15663168675237,0.0212613489468339,1.0413574765701
4,0.463,0.262077715953349,0.0220866597361252,1.00841296426611,0.0229666001470144,1.31208232563739,0.266687904699517,0.0220315066693992,1.16256815846974,0.0211447392771624,1.03301645485818
5,0.467,0.233056886147684,0.0234087884902544,0.988913957549781,0.0226434880789901,1.36308695568996,0.232901355566929,0.0220849623006615,1.1278744108506,0.021706185452182,1.06508781100939
6,0.473,0.239139785988348,0.0218238320009277,0.981588196230673,0.0225386790823485,1.28544863668482,0.238633619493946,0.0214409266317602,1.09948122400003,0.0210847242702198,0.996254718446122
7,0.443,0.247125238398111,0.022054263196144,1.01374404918641,0.0227988914219807,1.31241337209447,0.245276235359162,0.0220032768522396,1.14912693954938,0.0213987299630702,1.04099123612839
8,0.46,0.235833012272422,0.022938847943009,0.985463634361899,0.0227663186092723,1.35807394944744,0.241443879510812,0.0220501156644088,1.12285194188331,0.0215818168481993,1.06556191141051
9,0.455,0.258319393118635,0.0228661776276441,1.03480176435753,0.0234909460826361,1.34101185256075,0.25943448764547,0.0223653845783426,1.18859950954016,0.0213412371228375,1.06053917651457
10,0.442,0.27106378392981,0.0232179186917904,0.956498055164788,0.0214878455319401,1.21455197299992,0.260612685912365,0.0215867617647079,1.10827808730944,0.0205628730747775,0.970133991968743
11,0.447,0.239832764517723,0.0227134722078417,1.01625028211821,0.0222456741269187,1.33250426919267,0.242232218317409,0.0223293974975361,1.14453704385734,0.0215810781611998,1.05212790213459
12,0.454,0.24043878541088,0.0217546687434596,0.980212529514468,0.0228435794197861,1.29768723155216,0.242489344003418,0.0215296905730674,1.12883213670374,0.0211224483943949,1.02614429496306
13,0.466,0.280684475856916,0.0218255813540698,0.994246479719262,0.0224960122163901,1.33072719727222,0.265430211600581,0.0215288905487997,1.13656699793494,0.0213241680533209,1.0419964348517
14,0.466,0.231515806821356,0.0210670531412868,0.959264212123118,0.0214891292793579,1.2649808709882,0.241889018410668,0.0211959956861498,1.11401870484086,0.0208202707956209,0.995089428170599
15,0.448,0.263014045782615,0.0247217118674553,1.00403298689439,0.0228614299637949,1.33446548070162,0.261178225300443,0.0232135041515093,1.12428525555896,0.0216777961840331,1.05098391248514
16,0.452,0.216366374488799,0.0205622330787776,0.979890192397716,0.0230136095263666,1.33581457884816,0.211584265153578,0.0215758229412033,1.14885658615103,0.0212318345634183,1.06340808676742
