"sim","censored","beta1_ee","se_beta1_ee","alpha_ee","se_alpha_ee","sigma2_ee","beta1_lme","se_beta1_lme","alpha_lme","se_alpha_lme","sigma2_lme"
1,0.186,0.257440974266331,0.0217242780813316,0.97719798358504,0.0219453250644275,1.05359208529434,0.265510192519438,0.0216006839907923,1.10550769339866,0.0206868361477386,0.972992032246762
2,0.196,0.257551919545561,0.0209561915740207,0.992746292187064,0.0207782161337871,1.05114971743814,0.262064038889821,0.0209489737294992,1.14010595887112,0.0205335846067189,0.970731091431811
3,0.187,0.24067388324176,0.0217685859575332,1.00998085515444,0.0227309918004033,1.12400735751623,0.239202085485338,0.0216607299804913,1.16032932365526,0.0212303546105052,1.04245313649487
4,0.201,0.262077715953454,0.0220866597355509,1.00841296426905,0.0229666001470793,1.12099529422881,0.267200056634018,0.022017925179996,1.15590997638219,0.0210533434690749,1.03100663637719
5,0.207,0.233056886147687,0.0234087884902261,0.988913957552666,0.0226434880791001,1.16542794361335,0.233369124794047,0.0220764170087985,1.13150935027254,0.0215769216343629,1.06610739045656
6,0.187,0.239139785988335,0.0218238320010145,0.981588196231652,0.022538679082089,1.08266964597911,0.238253959331749,0.0214442744709109,1.11394109814692,0.0210173938041636,0.999871134476109
7,0.185,0.247125238398091,0.0220542631961977,1.01374404918703,0.0227988914220307,1.12585543819049,0.244836095492918,0.0219736223927574,1.13911091300556,0.0211383637969191,1.03836924729288
8,0.186,0.235833012272464,0.0229388479429078,0.985463634362746,0.0227663186090272,1.15294039806952,0.242574669635631,0.0220309995180437,1.11871322903894,0.0213963898440093,1.0644428951314
9,0.183,0.258319393118663,0.0228661776275893,1.03480176435962,0.0234909460826653,1.14026599451886,0.260946349876714,0.022363901164407,1.19301196125396,0.0213024926539624,1.06192616821666
10,0.176,0.271063783929669,0.0232179186917827,0.956498055166632,0.0214878455319818,1.0374298101869,0.25991383570868,0.0215774967604732,1.11109374131267,0.0204539172315777,0.971004798119649
11,0.195,0.239832764517739,0.0227134722078371,1.01625028211925,0.0222456741269171,1.14647043213122,0.241808956317866,0.0223159358987672,1.14424442776906,0.0214411961345725,1.0520415423929
